Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201740001,35.00,22,57.00,D,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740002,44.00,24,68.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740004,45.00,28,73.00,B,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740005,45.00,32,77.00,A,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740006,36.00,24,60.00,D,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740007,0.00,DT,0.00,DT,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740008,42.00,25,67.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740011,48.00,37,85.00,S,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740012,41.00,22,63.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740014,37.00,24,61.00,D,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740015,38.00,27,65.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740016,33.00,30,63.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740017,32.00,AB,0.00,I,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740018,50.00,36,86.00,S,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740019,37.00,29,66.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740020,45.00,30,75.00,B,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740021,44.00,24,68.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740022,46.00,36,82.00,A,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740023,49.00,33,82.00,A,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740024,42.00,30,72.00,B,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740026,36.00,27,63.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740027,42.00,27,69.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740028,43.00,36,79.00,A,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740029,39.00,24,63.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
201740030,42.00,27,69.00,C,NOV-DEC,2018,NORMAL,CA1366,1.0,RDBMS LAB,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,NOV-DEC-2018,1,0,1,0,23
