Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140398,15.50,7.5,23.00,F,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140430,14.10,AB,0.00,I,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140555,8.70,25.5,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500254,7.70,11,19.00,F,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500266,16.40,18,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500267,17.90,16.5,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500283,14.90,AB,0.00,I,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500374,17.40,17,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500412,17.10,17,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500739,17.90,16.5,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600009,7.30,AB,0.00,I,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600029,14.40,AB,0.00,I,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600039,15.50,19,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600095,16.90,AB,0.00,I,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600451,12.80,AB,0.00,I,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600520,19.30,15,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600529,17.20,17,35.00,E,NOV-DEC,2018,BACK,MA1306,4.0,ENGINEERING MATHEMATICS III _15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
