Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121221,18.26,08,27.00,F,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121223,22.06,26.5,49.00,D,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121231,19.86,19.5,40.00,E,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121237,18.26,20.5,39.00,E,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121239,16.46,10.5,27.00,F,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121247,17.66,08,26.00,F,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121248,18.31,17.5,36.00,E,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121260,27.07,21,49.00,D,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121265,21.11,22.5,44.00,D,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20121266,21.06,25,47.00,D,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201123060,15.00,13.5,29.00,F,JAN,2014,MAKE,MGT311_MGT_FM_302_,4.0,DIRECT & INDIRECT TAXES,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
