Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110013,14.50,21.50,36.00,E,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110048,9.10,35.5,45.00,D,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110184,11.60,AB,0.00,I,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110337,13.60,05,19.00,F,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110461,12.60,MP,00,MP,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110462,14.70,AB,0.00,I,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110479,8.40,18,27.00,F,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110527,10.70,12,23.00,F,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110234,12.90,20,33.00,F,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110369,11.10,AB,0.00,I,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110396,11.80,12.5,25.00,F,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110405,11.10,11.5,23.00,F,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110485,15.00,AB,0.00,I,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110503,20.00,AB,0.00,I,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110541,15.70,21.5,38.00,E,EXTRA,2014,EXTRA,COB202,4.0,MECHANICS OF SOLIDS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
