Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200714018,13.50,AB,0.00,I,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110062,21.30,18,40.00,E,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110605,19.30,04,24.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110612,22.50,5.5,28.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120115,18.50,AB,0.00,I,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120196,16.60,17.25,34.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120269,17.05,6.5,24.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120453,19.10,5.5,25.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120575,18.48,AB,0.00,I,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120065,20.20,12.25,33.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120307,18.00,AB,0.00,I,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120709,16.80,9.75,27.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120710,16.15,21,38.00,E,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130008,27.25,18.75,46.00,D,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130021,22.30,26.25,49.00,D,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130031,26.15,17.75,44.00,D,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130032,19.00,11.25,31.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130035,17.05,19,37.00,E,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130069,17.45,9.75,28.00,F,JAN,2014,MAKE,COB103_COA203,4.0,ENGINEERING CHEMISTRY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
