Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110335,8.40,19.5,28.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110452,16.30,10,27.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110503,32.00,19,51.00,D,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110522,31.60,7.5,40.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110550,33.10,13,47.00,D,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120270,9.60,8,18.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20121746,22.60,13,36.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20121755,20.40,4.5,25.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130071,12.10,6,19.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130160,13.60,5.5,20.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1403_12_13__EE401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
