Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201700001,47.10,30,78.00,B,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700011,30.00,17,47.00,F,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700024,53.10,35,89.00,S,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700035,51.00,23,74.00,B,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700045,47.40,30,78.00,B,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700060,39.00,29,68.00,C,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700081,53.40,30,84.00,A,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700091,55.80,31,87.00,A,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700104,46.80,25,72.00,C,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700117,55.20,31,87.00,A,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700129,42.00,31,73.00,B,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700141,54.00,34,88.00,A,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700153,32.40,23,56.00,E,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700163,43.20,31,75.00,B,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
201700183,57.60,34,92.00,S,NOV_DEC,2017,NORMAL,ME1161,1.5,WORKSHOP PRACTICE LAB _ME1161_,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,NOV_DEC_2017,3,0,8,0,205
