Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201521301,63.73,15,79.00,B,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521302,71.91,15,87.00,A,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521303,73.55,18,92.00,S,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521304,73.55,18,92.00,S,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521305,70.91,18,89.00,A,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521306,69.00,16.5,86.00,A,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521307,65.50,17.5,83.00,A,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521308,67.55,19.5,88.00,A,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521309,62.73,15.5,79.00,B,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521310,57.00,15.5,73.00,B,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521311,53.73,13.5,68.00,C,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
201521312,64.09,14.5,79.00,B,NOV_DEC,2015,NORMAL,CH2162,3.0,PHYSICAL CHEMISTRY LAB,89,80,70,60,50,40,NOV_DEC_2015,0,0,0,0,0
