Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200814020,20.00,26.5,47.00,D,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110327,19.70,AB,0.00,I,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120105,18.50,24.5,43.00,E,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120480,16.10,28,45.00,D,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130008,22.30,19.5,42.00,E,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130021,18.90,22,41.00,E,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130031,25.30,26.5,52.00,D,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130032,16.50,9.5,26.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130070,12.40,AB,0.00,I,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130079,15.10,09,25.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130139,17.50,09,27.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130248,12.20,13.5,26.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130297,18.20,11.5,30.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130321,16.70,18.5,36.00,E,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130367,21.50,23.5,45.00,D,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130393,22.30,8.5,31.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130417,20.70,AB,0.00,I,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130427,19.20,11.25,31.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130513,15.60,AB,0.00,I,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130548,15.60,18,34.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130585,20.10,AB,0.00,I,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130632,18.60,14.5,34.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130668,14.50,05,20.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130670,13.10,07,21.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130691,20.00,10,30.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130693,11.70,AB,0.00,I,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130704,15.30,15,31.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130742,18.00,09,27.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130755,17.20,5.5,23.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130756,13.40,8.5,22.00,F,JAN,2014,MAKE,COB106_COA206_NEW__COB107_COA207_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
