Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200912043,18.40,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201012047,17.50,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201012054,18.60,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110035,14.20,17.5,32.00,F,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110047,11.20,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110152,15.90,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110247,17.70,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110261,17.60,22.5,41.00,E,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110296,22.80,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110461,13.80,7,21.00,F,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110576,20.00,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110601,14.20,13.25,28.00,F,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20110617,15.30,6,22.00,F,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20111001,22.40,12.5,35.00,F,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
20121721,18.90,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
200812133,12.50,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
200912120,14.70,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
201012100,16.60,AB,0.00,I,NOV_DEC,2013,BACK,EC305,4.0,SIGNALS & SYSTEM,80.000000,0,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,0,0,0,0,0
