Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200916030,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016004,30.30,27,58.00,C,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016005,34.25,32,67.00,B,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016006,41.30,38.5,80.00,A,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016010,33.70,28.5,63.00,B,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016012,14.70,AB,0.00,I,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016014,33.00,28.5,62.00,C,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016018,24.30,25.5,50.00,D,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016019,42.40,37.5,80.00,A,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016020,22.00,20.5,43.00,E,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016022,23.35,28,52.00,D,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016023,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016025,29.70,31,61.00,C,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016026,32.30,32,65.00,B,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016027,38.00,38.5,77.00,A,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016028,35.40,44.5,80.00,A,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016029,42.50,39.5,82.00,S,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016030,41.35,40.5,82.00,S,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016031,11.35,12,24.00,F,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016032,36.30,36,73.00,A,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016034,16.20,16.5,33.00,F,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016037,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016038,32.05,32.5,65.00,B,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016039,37.40,26,64.00,B,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016040,21.00,21,42.00,E,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016041,24.25,24,49.00,D,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016042,34.05,34.5,69.00,B,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016043,22.80,25,48.00,D,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016044,26.30,22.5,49.00,D,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016045,32.15,37,70.00,B,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016046,25.55,18,44.00,D,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016047,24.90,20,45.00,D,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016048,20.60,22,43.00,E,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
201016050,19.85,19,39.00,E,APRIL_MAY_APR,2013,NORMAL,BCA602,4.0,OPERATING SYSTEMS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,APRIL_MAY_APR_2013,1,0,3,0,30
