Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120115,18.50,13.5,32.00,F,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120270,13.20,10,24.00,F,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120283,10.00,AB,0.00,I,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120553,23.00,16.5,40.00,E,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20120587,17.40,AB,0.00,I,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20121101,14.80,16,31.00,F,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130003,11.30,12,24.00,F,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130010,11.20,5.5,17.00,F,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130070,11.20,23.5,35.00,E,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130144,11.80,17,29.00,F,JUNE_JULY,2017,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
