Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201023028,0.00,AB,0.00,I,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201023007,0.00,DT,0.00,DT,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201023047,36.00,AB,0.00,I,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123001,51.60,38,90.00,S,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123002,42.00,24,66.00,C,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123004,51.60,31,83.00,A,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123005,51.60,32,84.00,A,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123006,36.00,12,48.00,F,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123007,48.00,28,76.00,B,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123008,38.40,30,69.00,C,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123009,24.00,26,50.00,E,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123010,45.60,28,74.00,B,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123011,54.00,32,86.00,A,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123014,45.60,28,74.00,B,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
201123015,54.00,28,82.00,A,NOV-DEC,2012,NORMAL,MGT307,4.0,SUMMER PROJECT,88.000000,80.000000,73.000000,65.000000,58.000000,50.000000,NOV-DEC-2012,4,0,1,0,49
