Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201021403,14.90,3.5,19.00,F,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121402,30.50,22.5,53.00,D,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121404,37.10,11,49.00,E,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121405,29.60,10,40.00,E,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121406,38.70,25,64.00,C,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121407,18.60,12.5,32.00,F,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121408,33.00,13.5,47.00,E,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121409,29.60,20,50.00,D,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121412,38.40,46.5,85.00,A,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121415,40.50,39,80.00,A,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121416,36.00,32,68.00,C,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
201121418,36.90,27.5,65.00,C,APRIL_MAY_APR,2013,NORMAL,MMT402,4.0,HYDRODYNAMIC STABILITY,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
