Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200928013,36.55,23,60.00,D,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
200915015,42.00,28,70.00,C,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201012071,37.64,28,66.00,D,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201012134,42.00,29,71.00,C,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201013085,44.73,33,78.00,C,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201014025,51.27,38,90.00,A,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201015012,45.27,34.5,80.00,B,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201015039,37.64,22,60.00,D,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201028021,35.45,35,71.00,C,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201028032,38.73,27,66.00,D,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201013004,21.00,28,49.00,D,EXTRA,2013,EXTRA,COA210_COB210,1.5,COMPUTER PROGRAMMING LAB,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
