Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600134,25.20,15.5,41.00,E,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201600136,41.00,26,67.00,C,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700018,47.90,40,88.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700022,40.70,31,72.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700023,40.20,43.5,84.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700024,39.20,26.5,66.00,C,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700040,48.90,49.5,99.00,S,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700082,33.90,25.5,60.00,C,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700104,41.20,34.5,76.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700117,44.90,42,87.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700157,41.90,31.5,74.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700162,41.70,35.5,78.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700164,45.60,33.5,80.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700180,24.00,21,45.00,E,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700193,41.80,33.5,76.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700208,33.80,31.5,66.00,C,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700215,37.40,31.5,69.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700223,47.90,43,91.00,S,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700257,35.40,31.5,67.00,C,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700263,38.70,39.5,79.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700311,44.90,46.5,92.00,S,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700509,47.40,40.5,88.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700527,44.70,39,84.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700533,43.40,35,79.00,A,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700534,45.80,46.5,93.00,S,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700565,43.10,28.5,72.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201700566,24.60,24,49.00,D,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818501,23.50,15.5,39.00,E,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818502,30.00,26,56.00,D,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818503,19.60,14.5,35.00,E,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818504,30.90,20.5,52.00,D,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818505,48.00,49,97.00,S,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818506,24.60,16,41.00,E,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818507,29.00,27.5,57.00,C,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818508,31.70,19,51.00,D,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818509,29.20,22.5,52.00,D,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818510,28.80,29,58.00,C,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818511,19.40,9,29.00,F,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818512,29.90,22,52.00,D,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818513,32.30,12,45.00,E,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818514,25.10,19,45.00,E,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818515,37.40,33.5,71.00,B,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
201818516,27.60,18.5,47.00,D,NOV-DEC,2018,NORMAL,MA1301,4.0,ENGINEERING MATHEMATICS III _MA1301_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,1,0,62
