Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120021,6.40,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120123,7.40,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120177,9.70,01,11.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120223,19.10,28,48.00,D,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120232,3.90,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120256,1.70,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120317,5.90,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120326,5.30,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120535,0.60,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120580,14.30,17.5,32.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120591,5.80,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120646,34.40,33,68.00,B,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200918015,24.10,21,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201318505,15.00,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201318511,17.10,12,30.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201318513,8.60,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE606_CE602_09_,4.0,GROUND WATER ENGINEERING _ELECTIVE II_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
