Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200811022,26.30,31,58.00,C,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
200811130,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
200911005,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
201111509,18.30,AB,0.00,I,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
201011018,12.50,AB,0.00,I,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
201011043,15.40,2,18.00,F,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
201011129,14.60,5.5,21.00,F,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
20110002,37.70,39,77.00,A,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
20110005,31.20,29,61.00,C,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
20110014,28.00,20,48.00,D,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
20110015,29.20,11,41.00,E,APRIL_MAY_APR,2013,NORMAL,CSE405,4.0,DESIGN & ANALYSIS OF ALGORITHMS,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,APRIL_MAY_APR_2013,6,0,3,0,131
