Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201011501,22.25,18.5,41.00,E,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
201011106,23.00,30,53.00,D,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110002,36.50,45.5,82.00,A,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110005,30.95,27.5,59.00,C,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110014,18.90,AB,0.00,I,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110015,25.20,19,45.00,D,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110021,37.15,29,67.00,B,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110024,25.80,22.5,49.00,D,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110052,29.20,33,63.00,C,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110055,26.90,22.5,50.00,D,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110058,17.80,17.5,36.00,E,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110066,42.40,44,87.00,S,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110068,31.75,30,62.00,C,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110069,36.30,41.25,78.00,A,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110070,35.60,33.5,70.00,B,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110071,30.60,34.5,66.00,B,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110072,35.15,32,68.00,B,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110074,20.65,AB,0.00,I,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110075,36.10,40,77.00,A,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110076,32.50,35.5,68.00,B,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110077,31.40,29.5,61.00,C,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110079,36.05,40.5,77.00,A,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110088,42.05,41.5,84.00,A,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
20110092,29.70,29,59.00,C,NOV_DEC,2014,NORMAL,CSE705,4.0,COMPILER DESIGN,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,NOV_DEC_2014,3,0,1,0,130
