Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120181,9.00,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140071,15.40,6.75,23.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140158,16.60,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140188,10.38,6.25,17.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140207,14.00,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140252,14.23,9.5,24.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140261,21.60,2.75,25.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140710,22.90,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500141,19.00,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500276,13.50,14.5,28.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500449,8.80,22,31.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500674,20.20,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600162,12.50,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600166,12.10,2.5,15.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600502,9.35,1.25,11.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600657,14.20,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700011,10.20,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700222,17.35,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700399,12.60,10,23.00,F,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700486,18.90,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700518,7.50,AB,0.00,I,NOV-DEC,2018,BACK,CS1110,4.0,COMPUTER PROGRAMMING USING C _12 13 14 15 16 17 18__4CR UPTO 16 & 18  3CR FOR 17_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
