Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201019001,38.20,31,70.00,B,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019004,25.20,13.75,39.00,F,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019005,27.65,24.5,53.00,D,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019006,26.20,27,54.00,D,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019007,43.85,45.5,90.00,S,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019008,47.95,49,97.00,S,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019016,31.05,31,63.00,C,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019019,25.80,25.5,52.00,D,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019024,44.75,41,86.00,A,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019025,41.65,46.5,89.00,A,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019027,41.30,39.5,81.00,A,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019028,32.80,33,66.00,C,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019029,40.00,35.5,76.00,B,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019033,30.90,22.5,54.00,D,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
201019036,35.35,35,71.00,B,NOV_DEC,2012,NORMAL,BBA_FM_502,3.0,WORKING CAPITAL MANAGEMENT,89,80,70,60,50,40,NOV_DEC_2012,0,0,0,0,0
