Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110152,31.45,40,72.00,B,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110461,13.80,36.5,51.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120033,15.00,30.5,46.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120105,15.80,37.5,54.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120111,15.70,24,40.00,E,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120149,12.80,5.5,19.00,F,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120151,18.10,13,32.00,F,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120161,19.50,28.5,48.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120202,19.30,23.5,43.00,E,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120246,18.80,32.5,52.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120327,16.80,AB,0.00,I,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120337,13.60,AB,0.00,I,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120359,13.50,26,40.00,E,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120396,12.50,AB,0.00,I,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120444,19.00,30,49.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120480,13.50,AB,0.00,I,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120541,19.80,28.5,49.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120553,8.10,AB,0.00,I,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120554,14.80,36.4,52.00,D,JANUARY_JAN,2015,MAKE,EC1305,4.0,SIGNALS & SYSTEM,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
