Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130070,12.40,32,45.00,D,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130417,20.70,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130433,13.30,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130507,15.70,30.5,47.00,D,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130548,15.60,19.5,36.00,E,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130585,10.10,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130628,15.70,23,39.00,E,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130685,20.80,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130705,27.00,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130755,17.20,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20130756,13.40,18,32.00,F,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140165,17.90,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140215,30.45,28,59.00,C,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140307,38.15,29.5,68.00,B,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140323,27.10,25.5,53.00,C,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140451,9.55,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140480,17.40,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140504,34.90,32.5,68.00,B,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140600,21.90,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140623,22.05,AB,0.00,I,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140684,18.30,26,45.00,D,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20140716,15.70,10.5,27.00,F,JANUARY_JAN,2015,MAKE,CH1111,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
