Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120056,4.50,AB,0.00,I,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130410,12.60,14,27.00,F,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130457,15.40,6.5,22.00,F,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130736,12.40,7.5,20.00,F,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201415508,20.40,14.5,35.00,E,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140059,11.00,AB,0.00,I,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140147,31.80,AB,0.00,I,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140517,14.85,4.5,20.00,F,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140543,15.45,8.5,24.00,F,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140606,16.60,AB,0.00,I,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140636,30.55,32,63.00,B,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140641,21.25,22,44.00,D,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140743,21.85,22.5,45.00,D,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201515504,17.80,10,28.00,F,JAN,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
