Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201521201,32.65,21,54.00,D,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521202,36.75,31.25,68.00,C,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521203,27.60,30.5,59.00,D,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521204,34.45,41.5,76.00,B,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521205,10.75,0.25,11.00,F,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521206,33.55,27.25,61.00,C,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521207,22.90,5.75,29.00,F,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521208,21.80,19.25,42.00,E,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521209,23.90,29,53.00,D,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521210,39.40,43.5,83.00,A,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521211,24.30,17.5,42.00,E,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521212,37.20,39.25,77.00,B,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521213,33.90,30.5,65.00,C,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521214,26.65,29,56.00,D,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521216,27.00,18.75,46.00,E,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521217,19.30,3,23.00,F,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521218,41.90,45.5,88.00,A,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
201521219,29.70,21,51.00,D,DEC,2015,NORMAL,PH2101,4.0,MATHEMATICAL PHYSICS,89,80,70,60,50,40,DEC_2015,0,0,0,0,0
