Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201723001,39.98,37.5,78.00,B,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723002,24.85,22.5,48.00,E,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723006,22.85,18.5,42.00,E,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723007,45.05,45,91.00,S,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723010,34.75,31.5,67.00,C,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723013,32.50,28.75,62.00,C,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723016,29.13,25,55.00,D,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723021,26.50,20.5,47.00,E,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723023,34.00,30.5,65.00,C,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723025,31.83,28.25,61.00,C,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723030,22.10,18,41.00,E,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201723031,30.40,31,62.00,C,NOV-DEC,2018,NORMAL,BA2334,4.0,COMPETENCY MAPPING & PERFORMANCE MANAGEMENT _MGT HR 302_,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
