Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200612019,15.50,13,29.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200812506,18.90,17,36.00,E,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200912063,13.60,AB,0.00,I,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200912098,20.90,04,25.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200912502,14.30,12,27.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200912506,21.60,12.5,35.00,E,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012003,16.80,15,32.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012022,20.00,AB,0.00,I,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012036,12.20,4.5,17.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012045,14.30,AB,0.00,I,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012052,24.70,17,42.00,E,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012100,13.20,02,16.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012103,17.30,0.5,18.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201012507,18.60,AB,0.00,I,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201112506,14.00,07,21.00,F,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110152,27.00,AB,0.00,I,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110266,17.70,AB,0.00,I,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110296,21.40,AB,0.00,I,JAN_DEC,2012,MAKE,EC301,4.0,ENGINEERING MATHEMATICS III,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
