Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201616001,26.10,19.5,46.00,D,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616002,26.25,20,47.00,D,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616003,26.15,24.5,51.00,D,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616004,26.55,20,47.00,D,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616005,30.60,29.5,61.00,C,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616006,35.25,34,70.00,B,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616007,22.75,12,35.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616008,23.15,23.5,47.00,D,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616009,21.45,14,36.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616010,36.45,27.5,64.00,B,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616011,23.10,15.5,39.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616012,27.95,21,49.00,D,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616013,28.05,23.5,52.00,D,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616014,18.20,21,40.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616015,20.80,16.5,38.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616016,34.95,30,65.00,B,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616017,15.00,11,26.00,F,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616018,23.60,12.5,37.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616020,22.45,20.5,43.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616022,19.20,15.5,35.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616023,22.30,12.5,35.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616024,22.00,15,37.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616025,32.85,25.5,59.00,C,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
201616026,24.75,16.5,42.00,E,NOV_DEC,2016,NORMAL,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _BA1110_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2016,3,0,1,0,33
