Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121426,54.50,32,87.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121427,50.00,31,81.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121428,57.00,36,93.00,S,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121429,55.50,33,89.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121430,53.50,32,86.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121431,53.50,34,88.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121432,53.50,34,88.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121433,50.50,31,82.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121434,52.50,32,85.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121435,54.50,33,88.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121436,53.50,33,87.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121437,56.50,34,91.00,S,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121438,56.00,35,91.00,S,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121439,52.50,34,87.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121440,55.00,31,86.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121441,55.00,35,90.00,S,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121442,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121443,53.50,34,88.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121444,52.00,33,85.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
20121445,52.50,30,83.00,A,APRIL_MAY_APR,2013,NORMAL,MCH205,3.0,COMPUTER PROGRAMMING LAB,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,0,0
