Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201019001,42.60,28.75,72.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019002,43.80,29.5,74.00,A,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019003,36.00,24.75,61.00,D,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019004,37.20,25.65,63.00,C,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019005,36.00,26.75,63.00,C,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019006,37.20,24.95,63.00,C,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019007,44.40,28.25,73.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019008,54.60,32.45,88.00,S,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019011,39.60,27.65,68.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019012,48.00,29.55,78.00,A,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019013,37.20,24.75,62.00,C,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019014,42.00,27.45,70.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019015,38.40,25.75,65.00,C,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019016,37.80,26.28,65.00,C,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019019,30.00,30,60.00,D,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019024,31.00,29.25,61.00,D,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019025,38.66,31.25,70.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019026,31.66,29.25,61.00,D,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019027,37.00,31.35,69.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019028,37.33,30.65,68.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019029,35.66,31.15,67.00,C,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019030,42.00,28.75,71.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019031,25.20,31.25,57.00,D,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019032,24.00,30.5,55.00,E,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019033,24.00,30.75,55.00,E,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019034,25.20,31.5,57.00,D,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019036,25.20,32.25,58.00,D,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019039,25.20,28.85,55.00,E,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019040,24.00,28.75,53.00,E,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
201019041,42.00,26.95,69.00,B,APRIL_MAY_APR,2013,NORMAL,BBA603,4.0,VIVA VOCE,80.000000,74.000000,68.000000,62.000000,56.000000,50.000000,APRIL_MAY_APR_2013,0,0,0,1,30
