Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130034,16.40,18.5,35.00,E,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130161,21.00,26,47.00,D,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130184,17.30,17.5,35.00,E,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130192,13.00,16,29.00,F,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130576,17.60,4,22.00,F,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130647,8.80,16.5,26.00,F,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140244,14.50,AB,0.00,I,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140637,15.30,24.5,40.00,E,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140680,12.90,26.5,40.00,E,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201513503,13.10,22.5,36.00,E,JULY_AUG,2016,EXTRA,EE1405,4.0,GENERATION  TRANSMISSION & DISTRIBUTION OF ELECTRICAL POWER _8 9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
