Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110514,20.63,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011017,10.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012070,16.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012133,19.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201013052,11.15,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014030,9.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014041,14.05,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014049,10.80,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018026,3.70,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018048,19.10,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018058,6.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201028023,14.80,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012011,22.80,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201015051,16.50,30.75,48.00,D,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201028018,20.75,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200913004,13.25,23,37.00,E,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200914061,14.35,24,39.00,E,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200928024,17.00,26.75,44.00,E,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200914023,18.80,15.25,35.00,E,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200918055,11.25,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200812133,10.40,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200515055,14.10,11.25,26.00,F,APRIL_MAY_APR,2013,BACK,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
