Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120593,14.60,00,15.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130296,16.50,21.5,38.00,E,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130609,16.90,13.5,31.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140361,13.80,20.5,35.00,E,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500008,13.00,1.5,15.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500038,30.10,29.5,60.00,C,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500040,24.50,16.0,41.00,E,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500045,20.30,17.0,38.00,E,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500054,21.00,19.0,40.00,E,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500061,15.20,12.0,28.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500111,18.40,04.0,23.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500193,17.50,12.5,30.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500220,11.70,9.5,22.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500223,13.70,16.0,30.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500254,7.70,1.5,10.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500266,16.40,AB,0.00,I,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500283,14.90,09.0,24.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201611501,14.30,08.0,23.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201611502,16.80,9.5,27.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201611503,11.80,8.5,21.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201611505,17.70,09.0,27.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201611506,12.70,02.0,15.00,F,JAN,2017,SUPP,MA1306,4.0,ENGINEERING MATHEMATICS III _REF CODE:CS1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
