Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600087,16.75,7.5,25.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600525,16.40,29.75,47.00,D,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201700080,16.50,8,25.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201700228,17.00,AB,0.00,I,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201700399,16.95,17.25,35.00,E,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201700501,11.45,2,14.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800054,23.25,21.75,45.00,E,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800125,10.95,16.5,28.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800159,11.85,2.25,15.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800186,19.75,5.25,25.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800272,12.60,6.5,20.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800329,15.45,22.5,38.00,E,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800485,17.65,7,25.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800526,32.80,24,57.00,C,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800535,15.70,2.75,19.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800579,16.00,1,17.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800589,35.75,MP,00.00,MP,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201800597,17.80,8.5,27.00,F,JAN,2019,SUPP,CH1108,4.0,ENGINEERING CHEMISTRY _16 17 18_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
