Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110234,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20110266,9.60,AB,0.00,I,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20111001,32.70,33.5,67.00,B,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120001,37.10,36.5,74.00,A,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120013,39.55,38,78.00,A,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120014,27.70,37,65.00,B,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120015,22.05,34.5,57.00,C,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120017,27.20,23,51.00,D,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120026,31.85,29,61.00,C,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120028,27.00,28,55.00,C,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120033,18.25,28.5,47.00,D,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
20120045,26.70,31.75,59.00,C,MAY_JUNE,2015,NORMAL,EC605,4.0,POWER ELECTRONICS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2015,9,0,4,0,147
