Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201319003,24.30,34,59.00,D,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319004,40.95,39,80.00,A,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319005,27.70,39.5,68.00,C,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319007,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319008,43.00,40.5,84.00,A,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319011,44.75,44.5,90.00,S,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319012,33.95,38,72.00,B,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319013,38.15,42.5,81.00,A,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319014,36.40,42,79.00,B,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319015,29.15,32,62.00,D,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319016,36.05,37.5,74.00,B,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319018,42.30,38.5,81.00,A,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319019,46.25,46,93.00,S,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319021,30.35,28.5,59.00,D,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319024,33.15,35.5,69.00,C,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
201319025,33.05,39.5,73.00,B,MAY_JUNE,2015,NORMAL,BBA403,4.0,MARKETING OF SERVICES _BA1403_,89.000000,80.000000,71.000000,63.000000,54.000000,45.000000,MAY_JUNE_2015,0,0,2,0,23
