Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600001,34.10,41,76.00,A,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600013,28.00,34.5,63.00,C,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600024,14.60,22,37.00,E,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600035,32.10,23.5,56.00,C,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600045,19.40,20,40.00,E,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600056,31.50,32.5,64.00,B,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600057,31.00,MP,00.00,MP,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600068,29.80,20.5,51.00,D,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600081,28.40,35,64.00,B,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
201600094,28.10,34,63.00,C,MAY_JUNE,2017,NORMAL,CH1111,2.0,ENVIRONMENTAL SCIENCE _CH1111_,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,MAY_JUNE_2017,4,1,4,0,204
