Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110504,10.90,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20120071,10.30,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014049,6.50,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014078,12.60,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018026,6.30,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201028023,19.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011079,8.90,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011110,36.70,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012030,2.50,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201013013,13.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201013025,12.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201015020,7.50,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200914001,8.60,5.5,15.00,F,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
200717203,17.90,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA206_COB106_NEW__COA207_COB107_OLD_,2.0,ENVIRONMENTAL SCIENCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
