Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140002,18.00,21.5,40.00,E,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140023,20.10,7.75,28.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140129,15.30,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140158,11.70,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140188,16.65,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140189,21.35,9.50,31.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140194,24.75,16.50,42.00,E,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140342,15.15,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140405,17.65,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140450,15.70,22.75,39.00,E,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140515,20.45,9.50,30.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140517,17.30,9.00,27.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140546,16.25,12.50,29.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140556,12.48,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140576,13.70,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140655,9.65,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140674,17.00,4,21.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140685,16.65,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500058,15.90,14.25,31.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500121,14.50,23.25,38.00,E,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500154,21.70,10,32.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500182,16.60,19,36.00,E,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500193,13.75,7.5,22.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500224,22.25,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500235,18.55,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500254,18.05,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500261,16.74,4,21.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500281,10.00,16.75,27.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500294,17.50,5.5,23.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500406,13.75,2,16.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500733,19.00,AB,0.00,I,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600169,16.35,7,24.00,F,APRIL_MAY_APR,2018,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16 17_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
