Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110434,0.00,DT,0.00,DT,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
200711072,0.00,DT,0.00,DT,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
201011106,0.00,DT,0.00,DT,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
201011129,9.10,1,11.00,F,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
20110018,6.20,10,17.00,F,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
20110161,10.50,0.5,11.00,F,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
20120020,23.30,21,45.00,D,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
20120029,23.40,20.5,44.00,D,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
20120037,17.40,17.5,35.00,E,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
20120040,22.60,23,46.00,D,NOV_DEC,2013,NORMAL,CSE301_IT301,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2013,4,0,9,0,154
