Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120256,1.00,AB,0.00,I,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
20120591,8.10,AB,0.00,I,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
20120326,12.60,AB,0.00,I,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
20110187,3.10,05,9.00,F,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
20120206,9.20,27.5,37.00,E,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
20120065,9.20,13,23.00,F,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
20120177,15.70,22.5,39.00,E,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201318507,10.60,24,35.00,E,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201318505,12.20,22.5,35.00,E,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
20111011,6.40,AB,0.00,I,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201318502,8.20,15.5,24.00,F,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201318504,8.30,AB,0.00,I,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201318510,9.40,17.5,27.00,F,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
201318514,10.60,AB,0.00,I,MAY_JUNE,2016,BACK,CE605,4.0,REMOTE SENSING & GIS _ELECTIVE I_ _12_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2016,0,0,0,0,0
