Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600166,48.00,29,77.00,B,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201600314,0.00,DT,0.00,DT,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201600501,46.50,33,80.00,B,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201600630,46.88,34,81.00,B,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700010,33.56,20,54.00,E,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700021,52.20,33,86.00,A,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700027,52.80,37,90.00,S,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700034,49.00,28,77.00,B,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700081,51.90,32,84.00,A,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700096,54.00,33,87.00,A,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700122,39.25,28,68.00,C,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700136,41.15,29,71.00,C,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700139,45.00,26,71.00,C,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700148,50.67,32,83.00,A,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700155,50.10,33,84.00,A,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700166,50.40,30,81.00,B,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700214,51.00,36,87.00,A,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
201700219,45.00,31,76.00,B,NOV-DEC,2018,NORMAL,ME1361,1.5,STRENGTH OF MATERIAL LAB,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,NOV-DEC-2018,0,0,1,0,48
