Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201716012,17.25,6.5,24.00,F,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201716029,20.55,14,35.00,E,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816005,16.95,5,22.00,F,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816009,8.80,11.5,21.00,F,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816015,14.95,14.5,30.00,F,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816019,14.00,9.5,24.00,F,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816020,21.35,15.5,37.00,E,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816021,18.50,10.5,29.00,F,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816027,18.85,AB,0.00,I,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201816028,12.10,AB,0.00,I,JAN,2019,SUPP,BA1110,4.0,FUNDAMENTALS OF BUSINESS MANAGEMENT _14 15 16 17 18_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
