Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201711502,18.85,31.5,51.00,D,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700139,24.65,20.0,45.00,D,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700153,12.85,17.5,31.00,F,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700210,24.95,MP,0.00,MP,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700233,32.35,25,58.00,C,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700253,26.05,21.5,48.00,D,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700364,23.90,13.5,38.00,E,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700389,9.40,07,17.00,F,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700435,17.40,21.5,39.00,E,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700491,17.35,11.5,29.00,F,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700492,21.00,AB,0.00,I,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700544,23.95,20.0,44.00,D,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700447,20.70,AB,0.00,I,JANUARY_JAN,2018,SUPP,BA1115,1.0,UNIVERSAL HUMAN VALUE & PROFESSIONAL ETHICS I _17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
