Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120370,12.70,AB,0.00,I,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130457,19.10,4,24.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130480,16.20,10,27.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140535,14.00,AB,0.00,I,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140654,13.70,6,20.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140655,11.40,6,18.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140704,15.00,2,17.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201500019,18.70,8.5,28.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201500281,15.60,4,20.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201500323,15.40,6,22.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201500325,8.50,7.5,16.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201500447,11.50,9,21.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201500455,10.95,2.5,14.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201600158,14.60,10,25.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201600329,20.50,15,36.00,E,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130478,16.55,4,21.00,F,MAY_JUNE,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16_,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
