Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120357,10.40,2,13.00,F,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20120664,4.30,AB,0.00,I,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20120700,14.80,25,40.00,E,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130268,21.90,35.5,58.00,C,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130310,17.30,AB,0.00,I,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130329,29.00,17,46.00,D,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130352,14.30,27.5,42.00,E,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130441,23.80,22,46.00,D,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130478,13.40,25.5,39.00,E,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130547,15.90,31.5,48.00,D,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
20130718,33.70,6,40.00,E,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201311506,15.30,AB,0.00,I,JAN,2017,SUPP,CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE III_,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
