Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130076,56.90,13,70.00,C,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20130564,55.60,14,70.00,C,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20130565,47.20,13,61.00,D,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20140089,59.20,17,77.00,B,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20140135,39.00,15,54.00,E,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20140138,68.60,17,86.00,A,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20140176,62.80,19,82.00,A,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20140222,51.70,12,64.00,D,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20140236,58.50,15,74.00,B,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
20140634,42.30,12,55.00,E,JULY_AUG,2016,EXTRA,CE1461,1.5,FLUID MECHANICS LAB I,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,JULY_AUG_2016,0,0,0,0,0
