Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110452,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20110511,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20110515,57.00,12,69.00,C,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120135,64.70,16.5,82.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120240,65.30,16,82.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120260,56.30,17.5,74.00,B,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120269,60.00,18,78.00,B,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120271,64.70,19,84.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120273,67.00,20,87.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120282,71.00,20.5,92.00,S,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120285,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120287,64.00,17,81.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120289,65.70,17,83.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120291,58.00,17.5,76.00,B,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120295,54.30,18.5,73.00,B,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120307,58.70,17.5,77.00,B,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120310,65.00,19,84.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120708,62.40,17.5,80.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120722,61.30,20,82.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120730,65.70,19.5,86.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120731,64.70,17.5,83.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
20120733,65.30,19.5,85.00,A,MAY_JUNE,2015,NORMAL,IE607,1.5,OPTICAL INSTRUMENTATION LAB,89,80,70,60,50,40,MAY_JUNE_2015,0,0,0,0,0
