Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130335,9.10,AB,0.00,I,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20130364,0.00,DT,0.00,DT,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20130433,11.70,3.5,16.00,F,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140006,45.30,42,88.00,S,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140007,40.70,49,90.00,S,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140009,33.40,44,78.00,A,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140010,41.30,32,74.00,A,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140013,37.30,25.5,63.00,B,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140022,20.40,21.5,42.00,E,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140024,36.40,26,63.00,B,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140028,41.20,34,76.00,A,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140030,19.40,16.5,36.00,E,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140032,25.00,25.5,51.00,D,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140034,22.50,4,27.00,F,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140036,14.60,11,26.00,F,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140038,29.90,20,50.00,D,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
20140039,32.80,26.5,60.00,C,NOV_DEC,2015,NORMAL,MA1302,4.0,ENGINEERING MATHEMATICS III _MA1302_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2015,15,0,15,0,202
