Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140501,16.90,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20120270,13.20,17,31.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20120283,10.00,12.5,23.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20120587,17.40,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130003,11.30,6.5,18.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130010,4.20,03,8.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130144,11.80,10.5,23.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130306,15.40,17.5,33.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130493,12.60,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130533,19.10,23,43.00,E,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130536,14.00,17,31.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130711,17.00,23,40.00,E,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201415504,15.50,4.5,20.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140082,7.00,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140131,12.60,08,21.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140358,20.70,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140499,18.20,10.5,29.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140509,14.90,08,23.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140587,16.20,07,24.00,F,JANUARY_JAN,2018,SUPP,MA1303_EC301_EE301_ME301_,4.0,ENGINEERING MATHEMATICS III _12 13 14 15 16_ _ME upto 2014 batch_,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
