Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
Subject,Title,:,MATHEMATICS,I,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201016020,11.60,AB,0.00,I,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201016021,16.80,00,17.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201116007,13.60,AB,0.00,I,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201116042,18.50,AB,0.00,I,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316005,23.40,11,35.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316007,25.90,8.5,35.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316013,9.50,01,11.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316016,12.20,5.5,18.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316017,17.85,23.5,42.00,E,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316020,15.70,10.5,27.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316021,9.90,AB,0.00,I,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316023,14.80,3.5,19.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201316029,16.70,13.5,31.00,F,JAN,2014,MAKE,BCA101,4.0,MATHEMATICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
