Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120673,15.40,22.5,38.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20120593,9.60,25.5,36.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20120700,11.70,25,37.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130069,9.60,30,40.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130194,16.80,AB,0.00,I,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130248,12.70,26.5,40.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130590,10.40,AB,0.00,I,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130609,14.90,13,28.00,F,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130619,5.25,31,37.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201311506,11.80,2.5,15.00,F,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201311509,29.90,18.5,49.00,D,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140073,14.90,36.5,52.00,D,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140116,13.20,30.5,44.00,D,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140145,16.15,22,39.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140184,8.40,29,38.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140200,13.40,21.5,35.00,E,JUNE_JULY,2018,SUPP,CS1604_CSE604_,4.0,FORMAL LANGUAGES & AUTOMATA THEORY,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
