Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121521,39.60,41.5,82.00,A,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
20121524,39.90,45.5,86.00,A,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
20121527,43.40,46,90.00,S,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201326001,36.00,36,72.00,B,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201326002,40.80,45,86.00,A,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201326003,35.60,42.5,79.00,B,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201326004,40.50,41,82.00,A,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201326005,37.40,39.5,77.00,B,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201326006,43.90,46,90.00,S,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201326007,30.50,36,67.00,C,MAY_JUNE,2014,NORMAL,MDC205,4.0,ELECTIVE IV _CAD FOR VLSI_,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
