Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201023028,0.00,DT,0.00,DT,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201023007,0.00,DT,0.00,DT,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201023047,31.00,25.5,57.00,D,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123001,34.90,33.5,69.00,B,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123002,24.60,33,58.00,D,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123004,30.10,35.5,66.00,B,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123005,33.90,30,64.00,C,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123006,30.50,28.5,59.00,C,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123007,32.80,30,63.00,C,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123008,26.70,26,53.00,D,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123009,31.80,30.5,63.00,C,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123010,37.60,34,72.00,B,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123011,35.25,30,66.00,B,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123014,40.10,35.5,76.00,A,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
201123015,36.70,33,70.00,B,NOV-DEC,2012,NORMAL,MGT-MR-302,4.0,RETAIL DIST. MGT & SUPPLY CHAIN MGT,80.000000,73.000000,66.000000,59.000000,52.000000,45.000000,NOV-DEC-2012,0,0,2,0,52
