Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201322001,61.38,16.5,78.00,B,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322002,69.23,22,92.00,S,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322003,58.38,11,70.00,C,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322004,47.77,12,60.00,D,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322005,72.46,22,95.00,S,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322006,61.62,16.5,79.00,B,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322009,64.20,20,85.00,A,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322010,56.54,16,73.00,B,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322013,60.92,17,78.00,B,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322016,56.54,18,75.00,B,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322017,70.66,21,92.00,S,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201322018,69.23,20.5,90.00,S,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201422501,61.85,20,82.00,A,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
201422502,60.50,17,78.00,B,MAY_JUNE,2015,NORMAL,MCA407,1.5,COMPUTER NETWORK LAB _CA2462_,90.000000,81.000000,72.000000,64.000000,55.000000,46.000000,MAY_JUNE_2015,0,0,1,0,33
