Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120593,8.70,14.75,24.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20130090,8.50,14.75,24.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20130609,11.20,AB,0.00,I,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20140291,11.60,05,17.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20140424,9.90,14,24.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20140444,12.70,8.5,22.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20140654,14.05,06,21.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20140658,8.75,07,16.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
20140703,11.60,08,20.00,F,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
201500254,9.80,AB,0.00,I,MAY_JUNE,2018,BACK,CS1405,4.0,DESIGN & ANALYSIS OF ALGORITHMS _10 11 12 13 14 15 16_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2018,0,0,0,0,0
