Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110083,11.90,AB,0.00,I,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20110452,8.90,AB,0.00,I,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20111101,0.00,DT,0.00,DT,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
200912063,17.70,6,24.00,F,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120321,28.00,18.5,47.00,D,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120693,35.00,12,47.00,D,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120046,36.00,34.5,71.00,B,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120090,21.00,13,34.00,F,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120099,20.00,14.5,35.00,E,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120019,22.00,13,35.00,E,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120072,8.40,3.5,12.00,F,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
20120198,22.00,6,28.00,F,NOV_DEC,2012,NORMAL,COA101_COB101,4.0,ENGINEERING MATHEMATICS I,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,NOV_DEC_2012,5,0,12,5,581
