Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200811040,21.10,1.5,23.00,F,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200811079,7.60,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911041,30.30,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911049,19.90,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911051,13.60,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911067,14.60,15,30.00,F,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911102,21.10,12,34.00,F,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011016,20.80,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011022,17.30,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011080,13.20,03,17.00,F,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011094,15.00,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201011116,17.20,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201111503,20.10,AB,0.00,I,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201111504,19.50,5.5,25.00,F,JAN_DEC,2012,MAKE,CSE501,4.0,ENGINEERING MATHEMATICS V CSE,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
