Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200715005,27.20,21.5,49.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
200915015,22.05,22,45.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
200915052,26.45,31,58.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
200915054,30.45,26.5,57.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
200915059,21.20,02,24.00,F,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201012001,26.20,33,60.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201014003,25.30,38.5,64.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201014034,42.90,43,86.00,A,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015001,30.85,37,68.00,B,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015002,44.60,46,91.00,S,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015003,21.10,31,53.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015004,26.35,19.5,46.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015005,24.95,24,49.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015007,31.95,37,69.00,B,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015008,22.80,13,36.00,E,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015009,35.15,28,64.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015010,16.00,00,16.00,F,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015012,34.80,34,69.00,B,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015013,30.95,29.5,61.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015014,33.60,34.5,69.00,B,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015016,27.80,29,57.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015018,24.75,10,35.00,E,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015019,34.30,40,75.00,B,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015021,32.05,33.5,66.00,B,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015022,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015023,24.10,34,59.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015024,27.50,21.5,49.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015026,31.25,43,75.00,B,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015027,27.75,28.5,57.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015028,23.65,29.5,54.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015029,23.95,28.5,53.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015030,28.75,25.5,55.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015032,24.40,27,52.00,D,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015033,26.65,32.5,60.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015034,31.55,32.5,65.00,C,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
201015035,40.30,39.5,80.00,A,APRIL_MAY_APR,2013,NORMAL,ME602,4.0,APPLIED THERMODYNAMICS II,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,APRIL_MAY_APR_2013,2,0,2,0,66
