Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140535,14.00,27.5,42.00,E,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20140600,20.85,14.5,36.00,E,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201600029,15.00,AB,0.00,I,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201600067,13.00,8.5,22.00,F,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201600095,12.35,20,33.00,F,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201600158,14.60,11,26.00,F,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
201600490,13.60,16.5,31.00,F,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20130248,12.25,21,34.00,F,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20130478,16.55,16,33.00,F,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
20120370,12.70,AB,0.00,I,NOV_DEC,2017,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV_DEC_2017,0,0,0,0,0
