Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20121545,26.30,29,56.00,D,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
20121546,39.60,45.5,86.00,A,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
20121554,34.80,40,75.00,B,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
20121556,34.80,29.5,65.00,C,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
20121558,24.50,27,52.00,D,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
20121559,31.00,33.5,65.00,C,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327001,31.10,28,60.00,C,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327002,26.50,29.5,56.00,D,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327004,28.30,AB,0.00,I,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327005,32.90,30.5,64.00,C,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327006,34.30,31.5,66.00,C,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327007,32.60,25,58.00,D,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327009,31.90,42,74.00,B,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327010,30.00,35,65.00,C,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327011,32.20,24.5,57.00,D,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327012,33.20,30,64.00,C,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327013,27.40,30.5,58.00,D,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327014,25.90,21.5,48.00,E,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
201327015,39.70,43,83.00,A,MAY_JUNE,2014,NORMAL,MCSE205,4.0,THEORY OF COMPUTATION,89,80,70,60,50,40,MAY_JUNE_2014,0,0,0,0,0
