Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130144,12.60,AB,0.00,I,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20130070,12.00,23,35.00,E,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140463,12.85,23,36.00,E,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140742,12.70,AB,0.00,I,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500071,12.60,31,44.00,D,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500117,13.10,AB,0.00,I,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500166,13.60,27.5,42.00,E,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201615501,11.05,24,36.00,E,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201615502,13.70,22,36.00,E,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201615504,13.40,22,36.00,E,JAN,2019,SUPP,ME1407_ME1402,4.0,THERMAL ENGINEERING I _15 16__APPLIED THERMODYNAMICS I _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
