Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130460,6.00,32,38.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140122,6.30,29.5,36.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140002,11.10,AB,0.00,I,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140259,9.10,AB,0.00,I,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140685,13.60,25,39.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500024,19.30,22.5,42.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500042,16.40,19,36.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500063,15.35,20,36.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500068,12.90,22,35.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500128,21.00,14,35.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500206,14.10,23,38.00,E,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500215,35.90,AB,0.00,I,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500317,21.00,29.5,51.00,D,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201512503,12.30,14,27.00,F,JAN,2019,SUPP,EC1702,4.0,ADAPTIVE SIGNAL PROCESSING _11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
