Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110085,29.80,22,52.00,D,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110308,27.60,20.5,49.00,D,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110323,24.90,9.5,35.00,E,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110348,27.60,13.5,42.00,E,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110375,42.40,18,61.00,C,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110433,35.80,16.5,53.00,C,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110435,31.70,20,52.00,D,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110452,35.00,07,42.00,E,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110514,18.20,7.5,26.00,F,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20110569,34.50,10.5,45.00,D,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
200811030,18.50,7.5,26.00,F,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
200813006,28.00,24,52.00,D,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201011106,29.20,21,51.00,D,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201014051,35.50,3.5,39.00,E,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201015015,23.80,19.5,44.00,D,JULY_AUG,2016,EXTRA,COA101_COB101,4.0,ENGINEERING MATHEMATICS I _8 9 10 11_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
